timestamp,modelName,count
2025-07-28 00:00:00,iPhone 12,96019
2025-08-04 00:00:00,iPhone 13,207597
2025-08-04 00:00:00,iPhone 15,138326
2025-08-04 00:00:00,iPhone 16 Pro,131416
2025-08-04 00:00:00,iPhone 14,128145
2025-08-04 00:00:00,iPhone 15 Pro Max,126059
2025-08-04 00:00:00,iPhone 15 Pro,123568
2025-08-04 00:00:00,iPhone 11,118564
2025-08-04 00:00:00,iPhone 16 Pro Max,115256
2025-08-04 00:00:00,iPhone 14 Pro,97300
2025-08-04 00:00:00,iPhone 12,94135
2025-08-11 00:00:00,iPhone 13,202848
2025-08-11 00:00:00,iPhone 15,136310
2025-08-11 00:00:00,iPhone 16 Pro,132305
2025-08-11 00:00:00,iPhone 14,126609
2025-08-11 00:00:00,iPhone 15 Pro Max,125637
2025-08-11 00:00:00,iPhone 15 Pro,122792
2025-08-11 00:00:00,iPhone 16 Pro Max,118042
2025-08-11 00:00:00,iPhone 11,115105
2025-08-11 00:00:00,iPhone 14 Pro,96381
2025-08-11 00:00:00,iPhone 12,92492
2025-08-18 00:00:00,iPhone 13,205325
2025-08-18 00:00:00,iPhone 15,138439
2025-08-18 00:00:00,iPhone 16 Pro,132613
2025-08-18 00:00:00,iPhone 14,126246
2025-08-18 00:00:00,iPhone 15 Pro Max,122815
2025-08-18 00:00:00,iPhone 15 Pro,121365
2025-08-18 00:00:00,iPhone 16 Pro Max,116636
2025-08-18 00:00:00,iPhone 11,116044
2025-08-18 00:00:00,iPhone 14 Pro,97027
2025-08-18 00:00:00,iPhone 12,92610
2025-08-25 00:00:00,iPhone 13,205222
2025-08-25 00:00:00,iPhone 15,139456
2025-08-25 00:00:00,iPhone 16 Pro,135787
2025-08-25 00:00:00,iPhone 14,127654
2025-08-25 00:00:00,iPhone 15 Pro Max,124106
2025-08-25 00:00:00,iPhone 15 Pro,122965
2025-08-25 00:00:00,iPhone 16 Pro Max,119812
2025-08-25 00:00:00,iPhone 11,117266
2025-08-25 00:00:00,iPhone 14 Pro,97054
2025-08-25 00:00:00,iPhone 12,92743
2025-09-01 00:00:00,iPhone 13,210523
2025-09-01 00:00:00,iPhone 15,143885
2025-09-01 00:00:00,iPhone 16 Pro,137307
2025-09-01 00:00:00,iPhone 14,131243
2025-09-01 00:00:00,iPhone 15 Pro,126243
2025-09-01 00:00:00,iPhone 15 Pro Max,126042
2025-09-01 00:00:00,iPhone 16 Pro Max,120931
2025-09-01 00:00:00,iPhone 11,117162
2025-09-01 00:00:00,iPhone 14 Pro,98573
